2020-01-13 11:14:39.447 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.528 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.548 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.595 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.704 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.706 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.739 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.813 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.850 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.869 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.871 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.919 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.967 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:39.998 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.089 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.089 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.145 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.152 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.191 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.199 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.325 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.330 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.439 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.448 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.501 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.515 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
